identifier,title,creator,year,subjects,description,language,item_url,preferred_format,download_url,text_available,translation_status,notes
CompendiumGaguin1500-1501,Compendium Roberti Gaguini super Francorum gestis ab ipso recognitum et auctum,"Gaguin, Robert, 1433-1501",1500,history; kings of France; medieval Latin; Middle Ages,Book digitized by Google and uploaded by ARLIMA (http://www.arlima.net),latin,https://archive.org/details/CompendiumGaguin1500-1501,PDF,https://archive.org/download/CompendiumGaguin1500-1501/Compendium_Roberti_Gaguini_super_Francor-1.pdf,likely,not-started,
bub_gb_GIhbRXrdNMIC,Expositio et quaestiones super totam philosophiam naturalem et methaphysicam Aristotelis,Petrus Tartaretus,1500,bub_upload,,latin,https://archive.org/details/bub_gb_GIhbRXrdNMIC,PDF,https://archive.org/download/bub_gb_GIhbRXrdNMIC/bub_gb_GIhbRXrdNMIC.pdf,likely,not-started,
ita-bnc-in2-00000172-001,"Epistolae magni Turci. Prelim: Laudivius Zacchia: Epistola ad Francinum Beltrandum. Add: Antonius Beccadelli, Panormita: De Hermaphrodito",Mahomet II,1500,,,latin,https://archive.org/details/ita-bnc-in2-00000172-001,PDF,https://archive.org/download/ita-bnc-in2-00000172-001/ita-bnc-in2-00000172-001.pdf,likely,not-started,
ita-bnc-in1-00000518-001,Proverbiorum libellus [segue:] Pollio epistula,"Vergil, Polydore",1500,,,latin,https://archive.org/details/ita-bnc-in1-00000518-001,PDF,https://archive.org/download/ita-bnc-in1-00000518-001/ita-bnc-in1-00000518-001.pdf,likely,not-started,
ita-bnc-in2-00001028-001,Postilla super Epistolas et Evangelia quadragesimalia (cum Quaestionibus Antonii de Bitonto et Alexandri de Ales),Nicolaus de Lyra,1500,,,latin,https://archive.org/details/ita-bnc-in2-00001028-001,PDF,https://archive.org/download/ita-bnc-in2-00001028-001/ita-bnc-in2-00001028-001.pdf,likely,not-started,
ita-bnc-in2-00001329-001,Compendium theologicae veritatis,"Albertus, Magnus, Saint",1500,,,latin,https://archive.org/details/ita-bnc-in2-00001329-001,PDF,https://archive.org/download/ita-bnc-in2-00001329-001/ita-bnc-in2-00001329-001.pdf,likely,not-started,
ita-bnc-in2-00001350-001,Quaestiones super libros Sententiarum Petri Lombardi.Add: Recommendatio S. Scripturae; Principium in cursum Bibliae; Quaestio in suis vesperiis; Quaestio de resumpta,"Ailly, Pierre d'",1500,,,latin,https://archive.org/details/ita-bnc-in2-00001350-001,PDF,https://archive.org/download/ita-bnc-in2-00001350-001/ita-bnc-in2-00001350-001.pdf,likely,not-started,
ita-bnc-in1-00000747-001,Romanae historiae compendium. Add: Marcus Antonius Sabellicus: Vita Pomponii,"Leto, Giulio Pomponio",1500,,,latin,https://archive.org/details/ita-bnc-in1-00000747-001,PDF,https://archive.org/download/ita-bnc-in1-00000747-001/ita-bnc-in1-00000747-001.pdf,likely,not-started,
ita-bnc-in1-00000912-001,De vita divi Ludovici Morbioli. Add: De contemnenda morte; In divum Albertum Carmelitam carmen; Contra poetas impudice loquentes. Add. Jodocus Badius Ascensius,"Baptista, Mantuanus",1500,,,latin,https://archive.org/details/ita-bnc-in1-00000912-001,PDF,https://archive.org/download/ita-bnc-in1-00000912-001/ita-bnc-in1-00000912-001.pdf,likely,not-started,
ita-bnc-in2-00002305-001,Epigrammata et elegiae. Add. Matteo Maria Boiardo: Carmen bucolicum,"Crottus, Bartholomaeus",1500,,,latin,https://archive.org/details/ita-bnc-in2-00002305-001,PDF,https://archive.org/download/ita-bnc-in2-00002305-001/ita-bnc-in2-00002305-001.pdf,likely,not-started,
ita-bnc-in2-00001745-002,Oratio proverbiorum,"Beroaldo, Filippo",1500,,,latin,https://archive.org/details/ita-bnc-in2-00001745-002,PDF,https://archive.org/download/ita-bnc-in2-00001745-002/ita-bnc-in2-00001745-002.pdf,likely,not-started,
ita-bnc-in2-00001157-001,Adolescentia,"Baptista, Mantuanus",1500,,,latin,https://archive.org/details/ita-bnc-in2-00001157-001,PDF,https://archive.org/download/ita-bnc-in2-00001157-001/ita-bnc-in2-00001157-001.pdf,likely,not-started,
ita-bnc-in1-00000912-002,In Robertum Severinatem panegyricum carmen. Add: Somnium Romanum. Epigrammata ad Falconem,"Baptista, Mantuanus",1500,,,latin,https://archive.org/details/ita-bnc-in1-00000912-002,PDF,https://archive.org/download/ita-bnc-in1-00000912-002/ita-bnc-in1-00000912-002.pdf,likely,not-started,
ita-bnc-in1-00000514-001,"Declamatio philosophi, medici, oratoris et alia opuscula","Beroaldo, Filippo",1500,,,latin,https://archive.org/details/ita-bnc-in1-00000514-001,PDF,https://archive.org/download/ita-bnc-in1-00000514-001/ita-bnc-in1-00000514-001.pdf,likely,not-started,
ita-bnc-in2-00000499-004,Oratio proverbiorum,"Beroaldo, Filippo",1500,,,latin,https://archive.org/details/ita-bnc-in2-00000499-004,PDF,https://archive.org/download/ita-bnc-in2-00000499-004/ita-bnc-in2-00000499-004.pdf,likely,not-started,
ita-bnc-in2-00002056-001,De honore mulierum,Benedictus Caesenas,1500,,,latin,https://archive.org/details/ita-bnc-in2-00002056-001,PDF,https://archive.org/download/ita-bnc-in2-00002056-001/ita-bnc-in2-00002056-001.pdf,likely,not-started,
ita-bnc-in1-00000527-001,"Polyhistor, sive De mirabilibus mundi. Ed: Philippus Beroaldus","Solinus, Gaius Julius",1500,,,latin,https://archive.org/details/ita-bnc-in1-00000527-001,PDF,https://archive.org/download/ita-bnc-in1-00000527-001/ita-bnc-in1-00000527-001.pdf,likely,not-started,
ita-bnc-in2-00000490-001,Secreta mulierum et virorum (cum expositione Henrici de Saxonia),"Albertus, Magnus, Saint",1500,,,latin,https://archive.org/details/ita-bnc-in2-00000490-001,PDF,https://archive.org/download/ita-bnc-in2-00000490-001/ita-bnc-in2-00000490-001.pdf,likely,not-started,
ita-bnc-in2-00000975-001,De secundis intentionibus,Hervaeus Natalis,1500,,,latin,https://archive.org/details/ita-bnc-in2-00000975-001,PDF,https://archive.org/download/ita-bnc-in2-00000975-001/ita-bnc-in2-00000975-001.pdf,likely,not-started,
BIUSante_06538,Practica Valesci de Tharanta : que alias Philonium dicitur. Una cum domini Joannis de tornamira introductorio. Suivi de : Summula Jacobi de Partibus alphabetum super plurimis remediis ex ipsius mesue libris exerptis...,"Valesco de Tarenta; Despars, Jacques",1500,Anatomie,Available at the Bibliothèque interuniversitaire de santé (Paris). See this resource in Medica digital library : 06538 .,latin,https://archive.org/details/BIUSante_06538,HTML,https://archive.org/download/BIUSante_06538/BIUSante_06538_hocr.html,likely,not-started,
McGillLibrary-osl_fasciculus-medicinae_WZ230K43f1500-19475,Fasciculus medicine,"Ketham, Joannes de, active 15th century",1500,"Human anatomy -- Early works to 1800.; Medicine -- Early works to 1800.; Medicine, Medieval.; Anatomy.; Medicine.; McGill University Library Digitized Title; Osler - Room; Human anatomy -- Early works to 1800; Medicine -- Early works to 1800; Medicine, Medieval; Anatomy; Medicine; Human anatomy","68 unnumbered pages : color illustrations, coat of arms, portraits (woodcuts) ; 32 cm (fol.); 68 unnumbered pages : 32 cm (fol.); Imprint from colophon, p. [68]; Illuminated initals. Woodcuts attributed to Gentile Bellini; Signatures: [a]-e ⁶, f⁴; Fasciculus medicine -- Consilium clarissimis doctoris domini Petri de Tausignano pro peste evitanda -- Anothomia Mundini [i.e. Mondino dei Luzzi] -- Tractatus Rasis de egritudinibus puerorum",latin,https://archive.org/details/McGillLibrary-osl_fasciculus-medicinae_WZ230K43f1500-19475,EPUB,https://archive.org/download/McGillLibrary-osl_fasciculus-medicinae_WZ230K43f1500-19475/osl_fasciculus-medicinae_WZ230K43f1500.epub,likely,not-started,
nby_400133,"Tractatus de ritu moribus, nequitia et multiplicatione Turcorum",Georgius de Hungaria,1500,DCC,View catalog record: https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma994001338805867,latin,https://archive.org/details/nby_400133,JPEG,https://archive.org/download/nby_400133/C1-tractatus-1.jpg,unknown,not-started,
McGillLibrary-rbsc_ms-medieval-184-21028,Fragment from a 16th-century Flemish gradual : manuscript,"Catholic Church, issuing body.",1500,"Catholic Church -- Liturgy.; Gregorian chants.; Graduals (Chants); Music -- Manuscripts.; Manuscripts, Latin (Medieval and modern); Detached bifolium; McGill University Library Digitized Title; Manuscript Antiphonals Digitization Project; Catholic Church -- Liturgy; Gregorian chants; Music -- Manuscripts","1 bifolium ; 32 x 26 cm; Title supplied by cataloguer; Damaged bifolium, recovered from a binding, is from a signature ; intervening bifolia are lacking; The second folio numbered 7 on the recto and 8 on the verso; Musical notation in black on five-line red staves ; sung texts in black ink ; liturgical rubrics and large initials in red; Gregorian chants associated with the feasts of Sanctae Trinitatis, Corporis Christi, De Sapientia and Dominica prima Septembris [texts from the Book of Job]; Holding in McGill Library's Rare Books and Special Collections: presented by Colonel W. G. Scully. Redpath Library, McGill University, April 1944; Holding in McGill Library's Rare Books and Special Collections: 1 bifolium ; vellum ; unbound",latin,https://archive.org/details/McGillLibrary-rbsc_ms-medieval-184-21028,HTML,https://archive.org/download/McGillLibrary-rbsc_ms-medieval-184-21028/rbsc_ms-medieval-184_hocr.html,likely,not-started,
McGillLibrary-rbsc_book-of-hours_ms109-21320,Officium beate Marie secundum usum Romanum,Catholic Church,1500,Catholic Church -- Prayers and devotions -- Early works to 1800.; Église catholique -- (CaQQLa)201-0381393 -- Prières et dévotions -- (CaQQLa)201-0381393 -- Ouvrages avant 1800. -- (CaQQLa)201-0377050; McGill University Library Digitized Title; Book of Hours project; Catholic Church -- Prayers and devotions -- Early works to 1800; Église catholique -- Prières et dévotions -- Ouvrages avant 1800; Catholic Church,"170 leaves : parchment, ink, manuscript, illuminations ; 6 x 8 cm; 170 leaves : 6 x 8 cm; Manuscript Book of Hours for the use of Rome; 6 miniatures, 170 leaves; Artist: Cornelia van Wulfscherchke (Carmelite); Ruling in red ink; 17 lines in a single column; leaves numbered in pencil; Holding in McGill Library's Rare Books and Special Collections: gift of Dr. Casey Wood, 1922",latin,https://archive.org/details/McGillLibrary-rbsc_book-of-hours_ms109-21320,HTML,https://archive.org/download/McGillLibrary-rbsc_book-of-hours_ms109-21320/rbsc_book-of-hours_ms109_hocr.html,likely,not-started,
McGillLibrary-osl_isagoge-simphoriani-champerij_WZ230C452i1500-22029,Isagoge Simphoriani Champerij in gramaticam disciplinam e logicam cum denotatione realium vanitatum e elucidatioe nominaliu veritatum. Incipiut feliciter,"Champier, Symphorien, 1472?-approximately 1535, author",1500,"Speculative grammar -- Early works to 1800.; Philology.; Philology, Modern.; Philology; Grammaire spéculative -- Ouvrages avant 1800.; Philologie.; Incunabula; McGill University Library Digitized Title; Osler - Osler Room Collection; Speculative grammar -- Early works to 1800; Philology, Modern; Grammaire spéculative -- Ouvrages avant 1800; Philologie; philology; Speculative grammar","16 unnumbered leaves ; 14 cm; Signatures: a-b⁸; Last leaf blank; In Gothic type (65/6 text, 83/4 title), 30-31 lines per page, four- and seven-line floriated white-line metalcut initials; Imprint from Gesamtkatalog der Wiegendrucke",latin,https://archive.org/details/McGillLibrary-osl_isagoge-simphoriani-champerij_WZ230C452i1500-22029,HTML,https://archive.org/download/McGillLibrary-osl_isagoge-simphoriani-champerij_WZ230C452i1500-22029/osl_isagoge-simphoriani-champerij_WZ230C452i1500_hocr.html,likely,not-started,
bub_gb_44RptDVSw5wC,Aurea diui Thome aquinatis de ordine predicatorum doctoris angelici Summa contra gentiles,Tommaso : d'Aquino santo (santo),1501,bub_upload,,latin,https://archive.org/details/bub_gb_44RptDVSw5wC,PDF,https://archive.org/download/bub_gb_44RptDVSw5wC/bub_gb_44RptDVSw5wC.pdf,likely,not-started,
bub_gb_4G1GvbamvGUC,"Eusebius De euangelica praeparatione a Georgio Trapezuntio e graeco in latinum traductus, opus ... nouissime impressum & exactissime emendantum",Eusebius : Caesariensis,1501,bub_upload,,latin,https://archive.org/details/bub_gb_4G1GvbamvGUC,PDF,https://archive.org/download/bub_gb_4G1GvbamvGUC/bub_gb_4G1GvbamvGUC.pdf,likely,not-started,
bub_gb_6bqC0ALWGL8C,Ioannis Tortelii Aretini Orthographia. Ioannis Tortelii Lima quædam per Georgium Vallam tractatum de orthographia,Giovanni Tortelli,1501,bub_upload,,latin,https://archive.org/details/bub_gb_6bqC0ALWGL8C,PDF,https://archive.org/download/bub_gb_6bqC0ALWGL8C/bub_gb_6bqC0ALWGL8C.pdf,likely,not-started,
bub_gb_AFBbtOmo5hkC,Excellentissimi ... Stephani Brulefer ... Reportata clarissima in quatuor sancti Bonauenturae doctoris seraphici sententiarum libros ... incipiunt feliciter. Basilea Jakob Wolff di Pforzheim Basilea,Etienne Brulefer,1501,bub_upload,,latin,https://archive.org/details/bub_gb_AFBbtOmo5hkC,HTML,https://archive.org/download/bub_gb_AFBbtOmo5hkC/bub_gb_AFBbtOmo5hkC_hocr.html,likely,not-started,
bub_gb_FPRNmENYEL0C,Problemata Alexandri Aphrodisei. Georgio Valla interprete. Problemata Aristotelis. Theodorus Gaza e graeco transtulit. Problemata Plutarchi per Ioannem petrum Lucensem in latinum conuersa,,1501,bub_upload,,latin,https://archive.org/details/bub_gb_FPRNmENYEL0C,PDF,https://archive.org/download/bub_gb_FPRNmENYEL0C/bub_gb_FPRNmENYEL0C.pdf,likely,not-started,
bub_gb_GEL1vHcxBqUC,Excellentissimi ... Stephani Brulefer ... Reportata clarissima in quatuor sancti Bonauenturae doctoris seraphici sententiarum libros ... incipiunt feliciter. Basilea Jakob Wolff di Pforzheim Basilea,Etienne Brulefer,1501,bub_upload,,latin,https://archive.org/details/bub_gb_GEL1vHcxBqUC,PDF,https://archive.org/download/bub_gb_GEL1vHcxBqUC/bub_gb_GEL1vHcxBqUC.pdf,likely,not-started,
bub_gb_LGL0FpMrWU4C,Burleus Super octo libros Phisicorum,Walter Burley,1501,bub_upload,,latin,https://archive.org/details/bub_gb_LGL0FpMrWU4C,HTML,https://archive.org/download/bub_gb_LGL0FpMrWU4C/bub_gb_LGL0FpMrWU4C_hocr.html,likely,not-started,
bub_gb_LIVfsECpueQC,"Eusebius De euangelica praeparatione a Georgio Trapezuntio e graeco in latinum traductus, opus ... nouissime impressum & exactissime emendantum",Eusebius : Caesariensis,1501,bub_upload,,latin,https://archive.org/details/bub_gb_LIVfsECpueQC,PDF,https://archive.org/download/bub_gb_LIVfsECpueQC/bub_gb_LIVfsECpueQC.pdf,likely,not-started,
bub_gb_oUEE93pRHlYC,Problemata Alexandri Aphrodisei. Georgio Valla interprete. Problemata Aristotelis. Theodorus Gaza e graeco transtulit. Problemata Plutarchi per Ioannem petrum Lucensem in latinum conuersa,,1501,bub_upload,,latin,https://archive.org/details/bub_gb_oUEE93pRHlYC,PDF,https://archive.org/download/bub_gb_oUEE93pRHlYC/bub_gb_oUEE93pRHlYC.pdf,likely,not-started,
bub_gb_wDKZMwtj9dsC,Venerabilis ... Stephani brulefer ... Formalitatum textus unacum ipsius commento perlucido,Etienne Brulefer,1501,bub_upload,,latin,https://archive.org/details/bub_gb_wDKZMwtj9dsC,PDF,https://archive.org/download/bub_gb_wDKZMwtj9dsC/bub_gb_wDKZMwtj9dsC.pdf,likely,not-started,
bub_gb_YRAnezL9JEgC,Excellentissimi ... Stephani Brulefer ... Reportata clarissima in quatuor sancti Bonauenturae doctoris seraphici sententiarum libros ... incipiunt feliciter. Basilea Jakob Wolff di Pforzheim Basilea,Etienne Brulefer,1501,bub_upload,,latin,https://archive.org/details/bub_gb_YRAnezL9JEgC,PDF,https://archive.org/download/bub_gb_YRAnezL9JEgC/bub_gb_YRAnezL9JEgC.pdf,likely,not-started,
bub_gb_zTyJfONDpbkC,Questiones Ioannis Iandoni de anima,Jean : de Jandun,1501,bub_upload,,latin,https://archive.org/details/bub_gb_zTyJfONDpbkC,PDF,https://archive.org/download/bub_gb_zTyJfONDpbkC/bub_gb_zTyJfONDpbkC.pdf,likely,not-started,
bub_gb_E0WkPVHHgloC,Aulus Flaccus Persius cum glosis Scipionis ferrarii Georgii filii de monteferrato artium & medicine doctoris,Aulus Persius Flaccus,1501,bub_upload,,latin,https://archive.org/details/bub_gb_E0WkPVHHgloC,PDF,https://archive.org/download/bub_gb_E0WkPVHHgloC/bub_gb_E0WkPVHHgloC.pdf,likely,not-started,
bub_gb_EQsO8kGu3uoC,Guillelmi de monserrat In decretis licentiati perutile commentum super pragmatica sanctione quinque partes continens. ..,Guillermo : de Monserrat,1501,bub_upload,,latin,https://archive.org/details/bub_gb_EQsO8kGu3uoC,PDF,https://archive.org/download/bub_gb_EQsO8kGu3uoC/bub_gb_EQsO8kGu3uoC.pdf,likely,not-started,
bub_gb_ORHwV-ca--UC,Venerabilis ... Stephani brulefer ... Formalitatum textus unacum ipsius commento perlucido,Etienne Brulefer,1501,bub_upload,,latin,https://archive.org/details/bub_gb_ORHwV-ca--UC,PDF,https://archive.org/download/bub_gb_ORHwV-ca--UC/bub_gb_ORHwV-ca--UC.pdf,likely,not-started,
bub_gb_2I5kAAAAcAAJ,Petri Paschalici Veneti Oratoris Ad Hemanvelem Lvsitaniae Regem Oratio ...,,1501,bub_upload,,latin,https://archive.org/details/bub_gb_2I5kAAAAcAAJ,PDF,https://archive.org/download/bub_gb_2I5kAAAAcAAJ/bub_gb_2I5kAAAAcAAJ.pdf,likely,not-started,
bub_gb_YsxQ9ByPKJsC,Aulus Flaccus Persius cum glosis Scipionis ferrarii Georgii filii de monteferrato artium & medicine doctoris,Aulus Persius Flaccus,1501,bub_upload,,latin,https://archive.org/details/bub_gb_YsxQ9ByPKJsC,PDF,https://archive.org/download/bub_gb_YsxQ9ByPKJsC/bub_gb_YsxQ9ByPKJsC.pdf,likely,not-started,
bub_gb_3YWnsrJdfw8C,Martialis,Marcus Valerius Martialis,1501,bub_upload,,latin,https://archive.org/details/bub_gb_3YWnsrJdfw8C,PDF,https://archive.org/download/bub_gb_3YWnsrJdfw8C/bub_gb_3YWnsrJdfw8C.pdf,likely,not-started,
bub_gb_AMe1KUdcrdMC,Antonius de Butrio completus super quinque libris decretalium cum repertorio eiusdem ..,,1501,bub_upload,,latin,https://archive.org/details/bub_gb_AMe1KUdcrdMC,HTML,https://archive.org/download/bub_gb_AMe1KUdcrdMC/bub_gb_AMe1KUdcrdMC_hocr.html,likely,not-started,
bub_gb_CejXTn8er4wC,Missale romanum nouiter impressum cum quibusdam missis de nouo additis multum deuotis adiunctisque figuris pulcherrimis in capite missarum festiuitatum solemnium vt patebit inspicienti,Chiesa cattolica,1501,bub_upload,,latin,https://archive.org/details/bub_gb_CejXTn8er4wC,HTML,https://archive.org/download/bub_gb_CejXTn8er4wC/bub_gb_CejXTn8er4wC_hocr.html,likely,not-started,
bub_gb_iAvZ95lS_B0C,Algorismus domini Ioannis de Sacro Busco nouiter impressus,Ioannes : de Sacrobosco,1501,bub_upload,,latin,https://archive.org/details/bub_gb_iAvZ95lS_B0C,PDF,https://archive.org/download/bub_gb_iAvZ95lS_B0C/bub_gb_iAvZ95lS_B0C.pdf,likely,not-started,
bub_gb_jV80bWmw_XYC,Algorismus domini Ioannis de Sacro Busco nouiter impressus,Ioannes : de Sacrobosco,1501,bub_upload,,latin,https://archive.org/details/bub_gb_jV80bWmw_XYC,EPUB,https://archive.org/download/bub_gb_jV80bWmw_XYC/bub_gb_jV80bWmw_XYC.epub,likely,not-started,
